datetime,high,low,open,close,volume
1675209600000.00 ,1590,1576.43,1585.32,1583.34,16798.76
1675213200000.00 ,1592.94,1580.35,1583.34,1588.92,14006.6
1675216800000.00 ,1589.44,1582.21,1588.93,1585.66,8378.36
1675220400000.00 ,1585.98,1578.8,1585.66,1584.61,7889.19
1675224000000.00 ,1585.65,1581.32,1584.62,1582.98,6762.63
1675227600000.00 ,1585.7,1582.2,1582.99,1583.07,5587.18
1675231200000.00 ,1583.41,1573.8,1583.07,1574.93,11742.76
1675234800000.00 ,1578.76,1569.67,1574.93,1575.36,10988.12
1675238400000.00 ,1576.29,1566.72,1575.37,1570.55,15876.99
1675242000000.00 ,1575.07,1566.24,1570.55,1573.34,10228
1675245600000.00 ,1576.39,1570.8,1573.35,1575,9459.97
1675249200000.00 ,1583.68,1574.93,1575,1580.87,10391.72
1675252800000.00 ,1583.28,1578.12,1580.87,1579.17,8527.74
1675256400000.00 ,1587.74,1573.27,1579.18,1581.41,17073.4
1675260000000.00 ,1589.8,1576.3,1581.42,1584.89,17424.24
1675263600000.00 ,1585.7,1572.13,1584.89,1575.53,22023.23
1675267200000.00 ,1580.22,1570.66,1575.53,1575.73,10206.39
1675270800000.00 ,1579.75,1566.92,1575.73,1571.53,10636.93
1675274400000.00 ,1586.56,1567.13,1571.54,1580.88,23234.61
1675278000000.00 ,1627.06,1555.18,1580.87,1617.48,112352.77
1675281600000.00 ,1639.8,1613.63,1617.47,1632.69,53523.67
1675285200000.00 ,1647.47,1632.6,1632.69,1635.23,32710.66
1675288800000.00 ,1647.77,1635.23,1635.24,1637.89,19195.88
1675292400000.00 ,1647.33,1637.16,1637.89,1641.68,19597.37
1675296000000.00 ,1696.38,1639.32,1641.67,1692.5,81709
1675299600000.00 ,1692.51,1674.45,1692.51,1675.63,33595.84
1675303200000.00 ,1678,1666.59,1675.64,1670.22,20274.28
1675306800000.00 ,1677.27,1669.99,1670.22,1671.13,16777.21
1675310400000.00 ,1675.65,1669.2,1671.13,1672.82,14532.19
1675314000000.00 ,1676.76,1670,1672.83,1670,11871.87
1675317600000.00 ,1671.35,1660.17,1670.01,1666.54,15391.79
1675321200000.00 ,1670.31,1662.08,1666.55,1664.21,15125.01
1675324800000.00 ,1670.58,1662.13,1664.21,1669.93,13547.57
1675328400000.00 ,1674.34,1665.4,1669.92,1674.22,11409.78
1675332000000.00 ,1674.76,1667.41,1674.23,1668.93,10371.73
1675335600000.00 ,1672.66,1668.84,1668.94,1671.99,8269.26
1675339200000.00 ,1677,1669.56,1671.98,1676.71,13310.09
1675342800000.00 ,1676.8,1669.16,1676.71,1672.62,19591.3
1675346400000.00 ,1690,1650,1672.63,1656.57,67814.21
1675350000000.00 ,1685.78,1653.18,1656.57,1678.14,38025.37
1675353600000.00 ,1684.31,1672.28,1678.15,1672.28,22064.79
1675357200000.00 ,1682.91,1671.51,1672.28,1680.18,13328.52
1675360800000.00 ,1714.68,1680.18,1680.18,1701.27,53212.03
1675364400000.00 ,1703.18,1666.21,1701.27,1675.15,41310.67
1675368000000.00 ,1680.59,1670.35,1675.14,1680.53,13272.45
1675371600000.00 ,1686.3,1633.44,1680.54,1637.19,50970.59
1675375200000.00 ,1661.48,1626.85,1637.18,1655.64,25314.29
1675378800000.00 ,1656.39,1638.42,1655.63,1643.12,18099.04
1675382400000.00 ,1649.1,1631.04,1643.12,1646.6,20324.12
1675386000000.00 ,1650.43,1643.73,1646.61,1644.39,13034.33
1675389600000.00 ,1647.75,1633.37,1644.4,1638.76,13578.27
1675393200000.00 ,1642.2,1630.67,1638.76,1642.17,11995.2
1675396800000.00 ,1644.42,1639,1642.17,1640.23,10759.75
1675400400000.00 ,1644.91,1638.53,1640.23,1643.89,7538.87
1675404000000.00 ,1645.45,1639.29,1643.9,1640.84,8475.91
1675407600000.00 ,1647.24,1636.07,1640.84,1637.49,16453.26
1675411200000.00 ,1641.94,1629.96,1637.5,1640.93,17491.78
1675414800000.00 ,1643.72,1640.18,1640.92,1641.97,7274.51
1675418400000.00 ,1644.95,1635.61,1641.98,1644.66,11632.86
1675422000000.00 ,1650.83,1641.88,1644.65,1649.2,12371.06
1675425600000.00 ,1654.93,1645.29,1649.2,1652.04,18769.77
1675429200000.00 ,1653.95,1625.93,1652.05,1637.11,67107.08
1675432800000.00 ,1664.92,1627.12,1637.1,1662.06,62411.69
1675436400000.00 ,1675,1650.45,1662.06,1663.93,48678.72
1675440000000.00 ,1676,1656.95,1663.93,1657.07,24765.15
1675443600000.00 ,1674.23,1655.99,1657.07,1660.99,18098.99
1675447200000.00 ,1662.8,1651.31,1660.98,1657.08,20009.46
1675450800000.00 ,1660,1650.74,1657.09,1652.91,12009.48
1675454400000.00 ,1661.68,1642.4,1652.9,1655.74,15223.01
1675458000000.00 ,1658.6,1651.81,1655.74,1657.32,6354.04
1675461600000.00 ,1669.99,1656.39,1657.33,1667.21,10368.91
1675465200000.00 ,1672.13,1662.17,1667.21,1663.52,10088.83
1675468800000.00 ,1665.95,1658.01,1663.52,1662.03,12417.65
1675472400000.00 ,1664.31,1655.73,1662.04,1657,12704.97
1675476000000.00 ,1659.24,1650,1656.99,1657.69,10876.55
1675479600000.00 ,1658.35,1651.77,1657.69,1654.36,4869.87
1675483200000.00 ,1654.52,1650.6,1654.37,1652.7,7113.41
1675486800000.00 ,1653.3,1646.1,1652.71,1651.33,8671.6
1675490400000.00 ,1655.29,1645.43,1651.32,1654,7230.8
1675494000000.00 ,1660,1653.44,1653.99,1658.17,9380.86
1675497600000.00 ,1658.87,1652.2,1658.17,1652.24,6469.98
1675501200000.00 ,1658.37,1651.39,1652.24,1657.77,13867.87
1675504800000.00 ,1662.73,1657.16,1657.77,1660.2,14359.2
1675508400000.00 ,1662.7,1658.84,1660.19,1661.92,6425.45
1675512000000.00 ,1667.56,1660.74,1661.92,1666.06,12161.35
1675515600000.00 ,1695.29,1666.06,1666.06,1684.23,55647.44
