datetime,high,low,open,close,volume
1675209600000.00 ,1590,1585.32,1585.32,1586.25,1830.4769
1675209900000.00 ,1586.25,1582.56,1586.24,1582.56,2378.0699
1675210200000.00 ,1585.13,1581.21,1582.56,1585.12,1475.0079
1675210500000.00 ,1585.13,1582.9,1585.13,1583.09,841.3118
1675210800000.00 ,1585.66,1582.9,1583.09,1585.29,819.0232
1675211100000.00 ,1585.3,1581.3,1585.3,1581.76,785.7075
1675211400000.00 ,1583.65,1576.43,1581.76,1582.27,4456.728
1675211700000.00 ,1584.96,1582.26,1582.26,1584.66,615.98
1675212000000.00 ,1587.52,1584.13,1584.65,1584.14,1271.6375
1675212300000.00 ,1586.27,1584.13,1584.13,1585.87,833.1416
1675212600000.00 ,1586.64,1584.72,1585.86,1584.77,902.426
1675212900000.00 ,1584.96,1583.22,1584.77,1583.34,589.2454
1675213200000.00 ,1586.06,1583.33,1583.34,1584.56,668.7082
1675213500000.00 ,1586.28,1584,1584.56,1586.02,826.5487
1675213800000.00 ,1586.98,1584.33,1586.01,1586.16,1011.1346
1675214100000.00 ,1586.69,1584.32,1586.17,1584.49,625.2615
1675214400000.00 ,1585.93,1583.78,1584.49,1584.04,460.5034
1675214700000.00 ,1584.04,1580.35,1584.04,1581.01,2125.7376
1675215000000.00 ,1583.06,1580.82,1581.01,1582.62,587.3091
1675215300000.00 ,1586.62,1582.52,1582.62,1586.26,2000.3216
1675215600000.00 ,1589.54,1585.13,1586.26,1589.11,1532.2117
1675215900000.00 ,1592.94,1588.02,1589.11,1591.7,2275.1363
1675216200000.00 ,1591.7,1588.7,1591.7,1588.71,921.0766
1675216500000.00 ,1589.68,1588.08,1588.7,1588.92,972.6528
1675216800000.00 ,1589.44,1587.43,1588.93,1587.79,684.9732
1675217100000.00 ,1587.91,1586.52,1587.79,1586.54,816.7798
1675217400000.00 ,1586.81,1585.87,1586.54,1585.95,352.5959
1675217700000.00 ,1586.52,1583.92,1585.95,1583.92,929.2774
1675218000000.00 ,1583.94,1582.28,1583.93,1582.67,1000.9471
1675218300000.00 ,1583.51,1582.67,1582.67,1583.2,530.4556
1675218600000.00 ,1584.94,1582.21,1583.21,1584.94,549.1822
1675218900000.00 ,1585,1583.17,1584.93,1583.35,902.118
1675219200000.00 ,1585,1583.34,1583.34,1584.07,992.9896
1675219500000.00 ,1584.66,1583.32,1584.06,1583.51,496.0621
1675219800000.00 ,1585.11,1583.35,1583.52,1585.11,562.3052
1675220100000.00 ,1585.67,1584.43,1585.11,1585.66,560.6775
1675220400000.00 ,1585.98,1584.69,1585.66,1584.7,702.1446
1675220700000.00 ,1584.7,1582.81,1584.7,1583.33,682.4896
1675221000000.00 ,1584.4,1583.24,1583.33,1583.31,562.2042
1675221300000.00 ,1583.63,1582.26,1583.32,1582.36,455.3519
1675221600000.00 ,1582.36,1580.96,1582.35,1581.07,872.3796
1675221900000.00 ,1581.81,1579.68,1581.08,1581.81,1665.0759
1675222200000.00 ,1581.98,1578.8,1581.8,1581.73,761.4838
1675222500000.00 ,1582.83,1581.73,1581.74,1582.47,482.0592
1675222800000.00 ,1583.41,1582.2,1582.47,1583.3,478.3291
1675223100000.00 ,1583.84,1583.16,1583.3,1583.68,261.4852
1675223400000.00 ,1584.1,1583.67,1583.67,1583.96,393.3801
1675223700000.00 ,1584.72,1583.71,1583.97,1584.61,572.808
1675224000000.00 ,1585.11,1584.27,1584.62,1585.03,571.5492
1675224300000.00 ,1585.51,1585.02,1585.03,1585.39,316.1871
1675224600000.00 ,1585.49,1584.23,1585.38,1584.43,754.3217
1675224900000.00 ,1584.5,1582.08,1584.43,1583.29,332.0057
1675225200000.00 ,1585.65,1582.98,1583.3,1582.98,983.1599
1675225500000.00 ,1584.67,1582.89,1582.98,1584.01,397.2237
1675225800000.00 ,1585.06,1582.76,1584,1583.14,1080.7274
1675226100000.00 ,1583.69,1581.32,1583.14,1583.68,471.6263
1675226400000.00 ,1584.34,1583.68,1583.69,1584.26,303.1438
1675226700000.00 ,1584.26,1582.41,1584.25,1582.41,804.109
1675227000000.00 ,1582.91,1582.34,1582.42,1582.76,327.6242
1675227300000.00 ,1583.38,1582.67,1582.76,1582.98,420.9481
1675227600000.00 ,1583.92,1582.81,1582.99,1583.91,509.8824
1675227900000.00 ,1583.98,1583.33,1583.91,1583.7,450.7206
1675228200000.00 ,1584.17,1583.6,1583.7,1584.17,695.0775
1675228500000.00 ,1584.18,1583.26,1584.16,1584.17,419.6279
1675228800000.00 ,1584.96,1583.33,1584.17,1584.95,528.3441
1675229100000.00 ,1585.66,1584.95,1584.95,1585.4,334.5882
1675229400000.00 ,1585.7,1584.84,1585.4,1584.85,543.6539
1675229700000.00 ,1584.85,1583.12,1584.85,1583.13,339.7137
1675230000000.00 ,1583.56,1582.2,1583.13,1583.3,734.2497
1675230300000.00 ,1583.4,1582.59,1583.29,1582.68,246.8435
1675230600000.00 ,1584.12,1582.5,1582.67,1582.67,467.2762
1675230900000.00 ,1583.69,1582.67,1582.68,1583.07,317.2044
1675231200000.00 ,1583.41,1582.47,1583.07,1583.03,595.1988
1675231500000.00 ,1583.32,1582,1583.03,1583.12,516.2163
1675231800000.00 ,1583.33,1582.1,1583.12,1582.17,539.1652
1675232100000.00 ,1582.25,1577.13,1582.18,1577.46,1706.398
1675232400000.00 ,1579.07,1575.64,1577.45,1579.04,1326.4254
1675232700000.00 ,1579.27,1578.68,1579.04,1579.04,634.3034
1675233000000.00 ,1581.53,1578.19,1579.05,1581.1,756.798
1675233300000.00 ,1581.35,1580.36,1581.1,1580.36,720.9737
1675233600000.00 ,1580.74,1578.25,1580.36,1579.24,658.0675
1675233900000.00 ,1579.77,1578.16,1579.23,1579.34,520.0229
1675234200000.00 ,1579.92,1576.95,1579.34,1578.13,920.1542
1675234500000.00 ,1578.14,1573.8,1578.13,1574.93,2849.0354
1675234800000.00 ,1574.94,1569.67,1574.93,1572.4,3282.2587
1675235100000.00 ,1573.64,1571.35,1572.39,1572.99,1631.6422
1675235400000.00 ,1576.9,1572.99,1573,1576.39,1165.9105
1675235700000.00 ,1576.96,1575.61,1576.4,1576.85,596.9528
1675236000000.00 ,1577.34,1575.78,1576.84,1577.34,443.1174
1675236300000.00 ,1577.93,1576.52,1577.34,1577.89,674.1222
1675236600000.00 ,1578.76,1577.34,1577.89,1577.8,741.3588
1675236900000.00 ,1577.81,1575.89,1577.81,1576.08,565.009
1675237200000.00 ,1576.67,1576.04,1576.07,1576.57,280.2705
1675237500000.00 ,1576.58,1574.89,1576.57,1575.52,480.1942
1675237800000.00 ,1577.18,1574.37,1575.51,1577.17,701.6768
1675238100000.00 ,1577.18,1575.34,1577.18,1575.36,425.6062
1675238400000.00 ,1575.37,1572.06,1575.37,1573.92,1640.2581
1675238700000.00 ,1576.29,1573.44,1573.92,1576.03,814.63
1675239000000.00 ,1576.03,1574.12,1576.02,1574.48,777.797
1675239300000.00 ,1575.11,1570.99,1574.49,1571.22,1256.3656
1675239600000.00 ,1573.65,1567.4,1571.22,1570.5,3590.078
1675239900000.00 ,1571.63,1566.72,1570.51,1568.64,2038.791
1675240200000.00 ,1571.8,1567.31,1568.64,1571.29,1904.849
1675240500000.00 ,1571.89,1570.16,1571.29,1571.81,871.3453
1675240800000.00 ,1572.34,1571.35,1571.81,1572,501.6713
1675241100000.00 ,1573.29,1570.6,1572,1570.68,1344.0199
1675241400000.00 ,1571.52,1570.02,1570.68,1571.31,586.6018
1675241700000.00 ,1571.31,1569.14,1571.31,1570.55,550.5818
1675242000000.00 ,1570.56,1568.95,1570.55,1569.46,535.581
1675242300000.00 ,1570.32,1566.24,1569.45,1570.17,1841.3005
1675242600000.00 ,1572.44,1568.47,1570.17,1572.44,1274.8293
1675242900000.00 ,1574.67,1571.52,1572.43,1574.48,871.6503
1675243200000.00 ,1574.89,1573.63,1574.47,1574.31,559.4311
1675243500000.00 ,1575.06,1574.01,1574.31,1575.05,564.8486
1675243800000.00 ,1575.07,1574.08,1575.05,1574.16,698.874
1675244100000.00 ,1574.38,1573.21,1574.15,1573.56,640.4033
1675244400000.00 ,1574.18,1572.5,1573.56,1572.92,878.8555
1675244700000.00 ,1573.8,1572.21,1572.93,1573.64,1015.2133
1675245000000.00 ,1573.68,1572.37,1573.64,1572.45,605.1541
1675245300000.00 ,1574.36,1572.43,1572.44,1573.34,741.8621
1675245600000.00 ,1574.07,1572.74,1573.35,1573.2,622.8496
1675245900000.00 ,1574.2,1572.65,1573.21,1574.14,1158.8621
1675246200000.00 ,1575.2,1574.02,1574.15,1574.82,741.1726
1675246500000.00 ,1576.39,1574.58,1574.82,1574.59,1292.2204
1675246800000.00 ,1575.12,1574.41,1574.59,1574.41,502.5966
1675247100000.00 ,1575.23,1574.4,1574.41,1574.53,651.1539
1675247400000.00 ,1575.12,1572.51,1574.52,1572.52,720.3674
