datetime,high,low,open,close,volume
1675209600000.00 ,1590,1580.82,1585.02,1581.29,70651.786
1675211400000.00 ,1586.9,1575.85,1581.3,1582.98,65770.143
1675213200000.00 ,1586.55,1580.2,1582.99,1580.76,37014.621
1675215000000.00 ,1593.23,1580.54,1580.75,1588.64,76506.683
1675216800000.00 ,1589.49,1582.02,1588.64,1583.06,35235.756
1675218600000.00 ,1585.6,1582.11,1583.01,1585.59,23438.787
1675220400000.00 ,1585.9,1579.29,1585.6,1581.65,41189.859
1675222200000.00 ,1584.79,1578.12,1581.65,1584.43,26812.449
1675224000000.00 ,1585.62,1581.66,1584.43,1583.56,29375.99
1675225800000.00 ,1584.86,1580.91,1583.57,1582.47,25427.547
1675227600000.00 ,1585.78,1582.27,1582.46,1585.21,22027.342
1675229400000.00 ,1585.65,1581.81,1585.22,1582.71,23117.653
1675231200000.00 ,1583.14,1575.1,1582.7,1578.97,50779.762
1675233000000.00 ,1581.7,1573.13,1578.97,1574.51,60779.383
1675234800000.00 ,1577.78,1569,1574.5,1577.76,88147.686
1675236600000.00 ,1578.74,1573.85,1577.75,1575.05,31660.078
1675238400000.00 ,1576.34,1566.4,1575.05,1568.68,105276.995
1675240200000.00 ,1573.38,1566.97,1568.68,1570.45,60383.542
1675242000000.00 ,1575,1565.87,1570.44,1574.8,61154.816
1675243800000.00 ,1574.92,1571.98,1574.81,1573.19,29288.364
1675245600000.00 ,1576.68,1572.39,1573.18,1574.24,34587.287
1675247400000.00 ,1576,1570.46,1574.24,1574.92,36492.151
1675249200000.00 ,1583.85,1574.64,1574.92,1582.08,75996.977
1675251000000.00 ,1583,1579.45,1582.08,1580.6,45550.308
1675252800000.00 ,1582.88,1579.76,1580.61,1582.59,39278.116
1675254600000.00 ,1582.99,1577.51,1582.6,1578.87,33870.938
1675256400000.00 ,1587.8,1572.31,1578.87,1583.63,145152.941
1675258200000.00 ,1585.99,1579.35,1583.63,1581.34,52813.604
1675260000000.00 ,1587,1580.67,1581.33,1583.4,43752.834
1675261800000.00 ,1590.35,1575.65,1583.4,1584.7,130590.867
1675263600000.00 ,1585.42,1577.5,1584.71,1579.5,114595.829
1675265400000.00 ,1583.46,1572,1579.5,1575.2,125955.89
1675267200000.00 ,1580.46,1573.59,1575.19,1577.8,65122.132
1675269000000.00 ,1578.54,1570.02,1577.8,1575.63,70672.968
1675270800000.00 ,1579.86,1572,1575.63,1576.09,55199.635
1675272600000.00 ,1577.06,1566.42,1576.09,1571.13,99522.49
1675274400000.00 ,1584,1566.55,1571.12,1582.7,111302.869
1675276200000.00 ,1587,1574.71,1582.71,1581.05,147225.026
1675278000000.00 ,1590,1557,1580.97,1574.32,434386.133
1675279800000.00 ,1627.38,1554.57,1574.32,1617.6,927396.242
1675281600000.00 ,1635.66,1613.01,1617.61,1635.25,372426.562
1675283400000.00 ,1639.68,1626.2,1635.26,1632.62,262953.604
1675285200000.00 ,1648.33,1632.3,1632.63,1641.25,264441.499
1675287000000.00 ,1642.66,1632.11,1641.25,1635.17,98981.597
1675288800000.00 ,1648.76,1635.17,1635.17,1641.82,124250.601
1675290600000.00 ,1644,1635.71,1641.82,1638.12,58041.103
1675292400000.00 ,1647.93,1636.89,1638.12,1647.88,97327.476
1675294200000.00 ,1648.05,1638.31,1647.88,1641.8,64069.358
1675296000000.00 ,1657.75,1639.32,1641.81,1645.76,191587.909
1675297800000.00 ,1699,1645.45,1645.75,1692.25,643399.572
1675299600000.00 ,1692.45,1682.39,1692.25,1685.13,188315.099
1675301400000.00 ,1685.9,1674.6,1685.12,1676.23,147988.863
1675303200000.00 ,1679.25,1670.87,1676.22,1673.05,92895.123
